label1,node1,label2,node2,link_num
181,张飞,202,张翼,2
181,张飞,234,庞统,2
181,张飞,321,诸葛亮,9
202,张翼,234,庞统,2
202,张翼,321,诸葛亮,2
234,庞统,321,诸葛亮,14
11,马良,101,刘备,15
11,马良,113,刘璋,4
11,马良,234,庞统,5
11,马良,239,法正,5
11,马良,321,诸葛亮,8
11,马良,330,黄忠,7
11,马良,352,彭羕,6
11,马良,403,魏延,11
101,刘备,113,刘璋,16
101,刘备,234,庞统,51
101,刘备,239,法正,26
101,刘备,321,诸葛亮,36
101,刘备,330,黄忠,44
101,刘备,352,彭羕,15
101,刘备,403,魏延,55
113,刘璋,234,庞统,3
113,刘璋,239,法正,5
113,刘璋,321,诸葛亮,3
113,刘璋,330,黄忠,5
113,刘璋,352,彭羕,4
113,刘璋,403,魏延,9
234,庞统,239,法正,13
234,庞统,330,黄忠,29
234,庞统,352,彭羕,5
234,庞统,403,魏延,40
239,法正,321,诸葛亮,9
239,法正,330,黄忠,11
239,法正,352,彭羕,5
239,法正,403,魏延,15
321,诸葛亮,330,黄忠,10
321,诸葛亮,352,彭羕,5
321,诸葛亮,403,魏延,14
330,黄忠,352,彭羕,7
330,黄忠,403,魏延,33
352,彭羕,403,魏延,11
101,刘备,187,张松,7
187,张松,234,庞统,7
187,张松,239,法正,4
187,张松,321,诸葛亮,3
187,张松,330,黄忠,3
187,张松,403,魏延,3
101,刘备,118,关羽,14
101,刘备,127,孙权,4
101,刘备,348,曹操,8
118,关羽,127,孙权,14
118,关羽,321,诸葛亮,27
118,关羽,348,曹操,15
127,孙权,321,诸葛亮,14
127,孙权,348,曹操,5
321,诸葛亮,348,曹操,15
11,马良,90,伊籍,2
11,马良,91,向朗,2
11,马良,118,关羽,2
11,马良,181,张飞,2
11,马良,246,赵云,2
11,马良,362,蒋琬,4
11,马良,383,简雍,2
11,马良,391,廖化,2
11,马良,404,糜芳,2
90,伊籍,91,向朗,2
90,伊籍,118,关羽,2
90,伊籍,181,张飞,2
90,伊籍,246,赵云,2
90,伊籍,321,诸葛亮,3
90,伊籍,362,蒋琬,4
90,伊籍,383,简雍,2
90,伊籍,391,廖化,2
90,伊籍,404,糜芳,2
91,向朗,118,关羽,2
91,向朗,181,张飞,2
91,向朗,246,赵云,2
91,向朗,321,诸葛亮,3
91,向朗,362,蒋琬,4
91,向朗,383,简雍,2
91,向朗,391,廖化,2
91,向朗,404,糜芳,2
118,关羽,181,张飞,2
118,关羽,246,赵云,2
118,关羽,362,蒋琬,4
118,关羽,383,简雍,2
118,关羽,391,廖化,2
118,关羽,404,糜芳,2
181,张飞,246,赵云,2
181,张飞,362,蒋琬,4
181,张飞,383,简雍,2
181,张飞,391,廖化,2
181,张飞,404,糜芳,2
246,赵云,321,诸葛亮,3
246,赵云,362,蒋琬,4
246,赵云,383,简雍,2
246,赵云,391,廖化,2
246,赵云,404,糜芳,2
321,诸葛亮,362,蒋琬,5
321,诸葛亮,383,简雍,3
321,诸葛亮,391,廖化,3
321,诸葛亮,404,糜芳,3
362,蒋琬,383,简雍,4
362,蒋琬,391,廖化,4
362,蒋琬,404,糜芳,4
383,简雍,391,廖化,2
383,简雍,404,糜芳,2
391,廖化,404,糜芳,2
101,刘备,181,张飞,21
113,刘璋,181,张飞,20
113,刘璋,348,曹操,2
181,张飞,239,法正,20
181,张飞,348,曹操,20
239,法正,348,曹操,2
